episodio,semilla,recompensa,pasos
1,1000,21.219363780614955,160
2,1001,10.196894576277757,353
3,1002,-90.08571059493603,1000
5,1004,44.576721495929235,158
6,1005,183.6387117605832,533
8,1007,-20.049350701554374,274
9,1008,-119.32272980429894,1000
10,1009,-15.814066560620773,417
11,1010,170.73335999362973,1000
12,1011,-142.6130698636122,1000
14,1013,-145.40024747788203,165
15,1014,165.866503865232,686
16,1015,-6.93110546808056,158
19,1018,39.047203008667026,172
21,1020,17.67163680300243,119
22,1021,-100.11408095282682,1000
23,1022,11.248463840179966,216
24,1023,1.2655519881336375,335
26,1025,-106.39821028895811,1000
28,1027,-110.48175839558266,1000
30,1029,59.5227454972748,217
