modelo,episodio,semilla,recompensa,pasos,resuelto
A2C ajustado - mejor checkpoint,1,1000,-376.5225115510806,1000,False
A2C ajustado - mejor checkpoint,2,1001,-467.53799301851984,1000,False
A2C ajustado - mejor checkpoint,3,1002,-642.8176380865019,1000,False
A2C ajustado - mejor checkpoint,4,1003,-608.6335264490247,1000,False
A2C ajustado - mejor checkpoint,5,1004,-559.5638421047814,1000,False
A2C ajustado - mejor checkpoint,6,1005,-673.5768495374531,1000,False
A2C ajustado - mejor checkpoint,7,1006,-505.10214974502446,1000,False
A2C ajustado - mejor checkpoint,8,1007,-439.535576853792,1000,False
A2C ajustado - mejor checkpoint,9,1008,-660.3549462450803,1000,False
A2C ajustado - mejor checkpoint,10,1009,-624.3340786070696,1000,False
A2C ajustado - mejor checkpoint,11,1010,9.536914139605514,353,False
A2C ajustado - mejor checkpoint,12,1011,-696.2918539275494,1000,False
A2C ajustado - mejor checkpoint,13,1012,-534.2725717632127,1000,False
A2C ajustado - mejor checkpoint,14,1013,-378.51970766358085,1000,False
A2C ajustado - mejor checkpoint,15,1014,-650.7603278741797,1000,False
A2C ajustado - mejor checkpoint,16,1015,-353.5550723611953,1000,False
A2C ajustado - mejor checkpoint,17,1016,-608.0143268209958,1000,False
A2C ajustado - mejor checkpoint,18,1017,-549.6024316751722,1000,False
A2C ajustado - mejor checkpoint,19,1018,-570.8879885679466,1000,False
A2C ajustado - mejor checkpoint,20,1019,-593.1569914646432,1000,False
A2C ajustado - mejor checkpoint,21,1020,14.6751265680346,387,False
A2C ajustado - mejor checkpoint,22,1021,-660.4497675551867,1000,False
A2C ajustado - mejor checkpoint,23,1022,-593.885161132187,1000,False
A2C ajustado - mejor checkpoint,24,1023,-554.2703613687438,1000,False
A2C ajustado - mejor checkpoint,25,1024,-503.4379866798878,1000,False
A2C ajustado - mejor checkpoint,26,1025,-667.7565499085669,1000,False
A2C ajustado - mejor checkpoint,27,1026,-195.43236988474524,1000,False
A2C ajustado - mejor checkpoint,28,1027,-670.1085517141464,1000,False
A2C ajustado - mejor checkpoint,29,1028,-486.3043522845762,1000,False
A2C ajustado - mejor checkpoint,30,1029,-457.142604441577,1000,False
