politica,episodio,semilla,recompensa,pasos,resuelto
Aleatoria,1,1000,-162.99072977712126,124,False
Aleatoria,2,1001,-175.59866815205652,69,False
Aleatoria,3,1002,-267.3765867768235,105,False
Aleatoria,4,1003,-114.0088914673404,125,False
Aleatoria,5,1004,-204.62272843068047,94,False
Aleatoria,6,1005,-371.19967287823914,113,False
Aleatoria,7,1006,-248.62110240700542,89,False
Aleatoria,8,1007,-366.9933119312453,95,False
Aleatoria,9,1008,-265.618273713397,96,False
Aleatoria,10,1009,-113.19513526106908,77,False
Aleatoria,11,1010,-264.12742776749917,107,False
Aleatoria,12,1011,-300.3078755438304,105,False
Aleatoria,13,1012,-259.33127350927333,106,False
Aleatoria,14,1013,-370.8199281440535,89,False
Aleatoria,15,1014,-96.25159458432523,96,False
Aleatoria,16,1015,-176.8169607236836,124,False
Aleatoria,17,1016,-123.07903362493563,98,False
Aleatoria,18,1017,-137.09318182276797,81,False
Aleatoria,19,1018,-76.22253418890408,113,False
Aleatoria,20,1019,-136.65556816509272,64,False
Aleatoria,21,1020,-248.22741362536365,101,False
Aleatoria,22,1021,-248.18236441461383,128,False
Aleatoria,23,1022,-510.19892415136906,95,False
Aleatoria,24,1023,-212.90484114339517,75,False
Aleatoria,25,1024,-152.42562641772588,93,False
Aleatoria,26,1025,-235.41835260672252,123,False
Aleatoria,27,1026,-191.67445879002622,64,False
Aleatoria,28,1027,-485.1863616843754,141,False
Aleatoria,29,1028,-264.99633941552196,84,False
Aleatoria,30,1029,-99.33865632108744,97,False
