timesteps,recompensa_media,desviacion_tipica
24992,-154.0601628,30.078803504074074
49984,-170.2510778,114.09109513478428
74976,-728.5045779999999,277.566178765847
99968,-168.0173695,50.59318675530897
124960,-159.5311079,38.56207562490672
149952,-177.0999623,37.53297143237123
174944,-212.8713041,34.84071943093045
199936,-204.3113913,48.692468809099715
224928,-221.7840502,65.3739880038161
249920,-205.91211149999998,54.297539210521336
274912,-172.6704504,50.53437022504501
299904,-168.2532251,42.158485278668316
324896,-169.3358609,39.76758499690067
349888,-150.0553246,49.67083504197507
374880,-129.75018210000002,25.802212418285098
399872,-122.1359495,45.42739658632495
424864,-157.98364529999998,49.01882880495923
449856,-115.5054231,66.1656990425412
474848,-61.024896100000014,78.20824107684238
499840,-36.3171425,51.64309782153475
524832,162.65497009999999,28.335549878617975
549824,137.8503773,75.83550683033623
574816,139.4410359,104.16896491973918
599808,132.5718308,93.18007866150336
624800,163.9095565,76.97805309999204
649792,129.5589238,84.94340320900568
674784,196.39046330000002,19.068704246468116
699776,114.0805347,99.08602123103098
724768,137.5960718,118.02769674365315
749760,176.257854,79.27554354451513
774752,168.51193949999998,73.78855302746341
799744,181.7197882,92.91362012634173
824736,132.0457954,122.84936337151193
849728,195.3034557,50.811367614266956
874720,163.3256688,99.98885453566686
899712,176.5310295,78.23650717213856
924704,183.8407699,79.42776315027481
949696,186.81768980000004,81.67910205976659
974688,197.2146823,8.58861928884898
999680,178.648149,60.39326687414859
