modelo,episodio,semilla,recompensa,pasos,resuelto,posicion_x_final,posicion_y_final,velocidad_x_final,velocidad_y_final,angulo_final,pata_izquierda,pata_derecha
QR-DQN - mejor checkpoint,1,1000,242.84997085689776,462,True,0.2662018835544586,0.005846009124070406,0.0,0.0,0.0525035597383976,True,True
QR-DQN - mejor checkpoint,2,1001,269.19183249584427,176,True,-0.09157409518957138,-0.000584318651817739,0.0,0.0,0.0014285554643720388,False,True
QR-DQN - mejor checkpoint,3,1002,231.0310782270119,307,True,0.20856285095214844,0.02654200606048107,0.0,0.0,0.23903213441371918,True,True
QR-DQN - mejor checkpoint,4,1003,248.45887397825763,418,True,-0.011808395385742188,0.00027627707459032536,0.0,0.0,-0.002991935471072793,True,True
QR-DQN - mejor checkpoint,5,1004,221.47900882455195,513,True,0.3969704508781433,-0.035699512809515,0.0,0.0,0.052797120064496994,True,False
QR-DQN - mejor checkpoint,6,1005,221.2512205240177,275,True,0.16439476609230042,0.00903461966663599,0.0,0.0,0.07724577933549881,True,True
QR-DQN - mejor checkpoint,7,1006,203.04390094783605,657,True,0.3380641043186188,0.03549729287624359,0.0,0.0,0.14891496300697327,True,False
QR-DQN - mejor checkpoint,8,1007,266.57256580923007,291,True,0.028100967407226562,-0.0007336998241953552,0.0,0.0,0.0020010038278996944,True,True
QR-DQN - mejor checkpoint,9,1008,-184.1956054250576,363,False,1.0065515041351318,-0.2679223418235779,0.7222750782966614,-0.2179792821407318,-0.28705301880836487,False,False
QR-DQN - mejor checkpoint,10,1009,155.9865936807687,840,False,0.5462408065795898,-0.22245179116725922,0.0,0.0,-0.2753062844276428,False,True
QR-DQN - mejor checkpoint,11,1010,-173.09885486718002,447,False,0.8260043859481812,-0.09066691994667053,0.05645545572042465,0.06058080121874809,-1.352638602256775,False,False
QR-DQN - mejor checkpoint,12,1011,224.79872697996777,312,True,0.10889787971973419,0.0003642177616711706,0.0,0.0,0.004805275239050388,False,True
QR-DQN - mejor checkpoint,13,1012,-66.50936131488446,236,False,0.2598647177219391,0.02927177958190441,0.18196764588356018,0.005297039169818163,0.676796019077301,True,True
QR-DQN - mejor checkpoint,14,1013,283.1569210830453,336,True,0.10546102374792099,-0.0008031869074329734,0.0,0.0,-0.004430221859365702,True,True
QR-DQN - mejor checkpoint,15,1014,207.20952831426303,473,True,-0.004181289579719305,-0.0009211325668729842,0.0,0.0,0.0003228860441595316,True,True
QR-DQN - mejor checkpoint,16,1015,285.89041438718107,303,True,-0.0678638443350792,0.0011705970391631126,0.0,0.0,-0.0036500110290944576,True,True
QR-DQN - mejor checkpoint,17,1016,270.990202026049,177,True,-0.07279090583324432,-0.0006595635204575956,0.0,0.0,-0.0011400129878893495,True,True
QR-DQN - mejor checkpoint,18,1017,267.67874199383095,384,True,0.08712206035852432,-0.00033569574588909745,0.0,0.0,0.004536113236099482,True,True
QR-DQN - mejor checkpoint,19,1018,126.48486483955536,1000,False,0.1482764184474945,-0.0007903480436652899,-0.004325318615883589,4.477343736652983e-06,0.002812664955854416,False,False
QR-DQN - mejor checkpoint,20,1019,228.185937177845,503,True,-0.03837079927325249,-0.00127768749371171,0.0,0.0,0.0008445197599940002,True,True
QR-DQN - mejor checkpoint,21,1020,236.24488183993168,595,True,0.08420467376708984,-0.00034038067678920925,0.0,0.0,-0.008485814556479454,True,False
QR-DQN - mejor checkpoint,22,1021,217.01721806470806,319,True,0.3755558133125305,-0.004246392287313938,0.0,0.0,0.05008767917752266,False,True
QR-DQN - mejor checkpoint,23,1022,230.52291971006264,563,True,-0.0021372796036303043,-0.00017841100634541363,0.0,0.0,-0.0052580516785383224,True,True
QR-DQN - mejor checkpoint,24,1023,220.32420037956774,484,True,-0.049321938306093216,-0.0010037445463240147,0.0,0.0,-0.003313144203275442,False,True
QR-DQN - mejor checkpoint,25,1024,246.89082634528324,529,True,0.04195127636194229,-0.0006519818562082946,0.0,0.0,0.00048307341057807207,True,True
QR-DQN - mejor checkpoint,26,1025,254.6892020968314,386,True,0.01823892630636692,-0.0004273200174793601,0.0,0.0,-5.761611646448728e-06,True,True
QR-DQN - mejor checkpoint,27,1026,281.708374569189,249,True,0.11781863868236542,-0.0001574182533659041,0.0,0.0,0.00905020534992218,False,True
QR-DQN - mejor checkpoint,28,1027,249.2109209223881,347,True,-0.0006175994640216231,-0.00011021137470379472,0.0,0.0,0.004143856465816498,True,True
QR-DQN - mejor checkpoint,29,1028,234.58782714858847,514,True,0.013586712069809437,-0.0005137944244779646,0.0,0.0,-0.0005750241107307374,False,True
QR-DQN - mejor checkpoint,30,1029,239.43059007591472,464,True,0.10440368950366974,-0.0003219270729459822,0.0,0.0,0.004768718965351582,True,True
